% R/bohr 1Sig  1Pi  1Del  3Sig  3Pi  Axy   Azy  Bss  Byx  Bxs  Bsy  Bxd
  30.60 -4.63699751E-03 -3.28579593E-03 -5.04106722E-03 -5.36465567E-03 -5.05204295E-03  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  30.85 -4.42466876E-03 -3.13153021E-03 -4.81047984E-03 -5.10878145E-03 -4.81104214E-03  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  31.10 -4.22332681E-03 -2.98526943E-03 -4.59181817E-03 -4.86727837E-03 -4.58358590E-03  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  31.35 -4.03198047E-03 -2.84658966E-03 -4.38399334E-03 -4.63907123E-03 -4.36865878E-03  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  31.60 -3.84987643E-03 -2.71509324E-03 -4.18618021E-03 -4.42322903E-03 -4.16538185E-03  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  31.85 -3.67643034E-03 -2.59040344E-03 -3.99774137E-03 -4.21893358E-03 -3.97298301E-03  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  32.10 -3.51117403E-03 -2.47216140E-03 -3.81816882E-03 -4.02545544E-03 -3.79077417E-03  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  32.35 -3.35371662E-03 -2.36002438E-03 -3.64704060E-03 -3.84213584E-03 -3.61813409E-03  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  32.60 -3.20371668E-03 -2.25366488E-03 -3.48398972E-03 -3.66837311E-03 -3.45449557E-03  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  32.85 -3.06086314E-03 -2.15277019E-03 -3.32868280E-03 -3.50361269E-03 -3.29933590E-03  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  33.10 -2.92486274E-03 -2.05704214E-03 -3.18080592E-03 -3.34733975E-03 -3.15216994E-03  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  33.35 -2.79543234E-03 -1.96619692E-03 -3.04005591E-03 -3.19907370E-03 -3.01254489E-03  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  33.60 -2.67229455E-03 -1.87996485E-03 -2.90613547E-03 -3.05836424E-03 -2.88003652E-03  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  33.85 -2.55517577E-03 -1.79809021E-03 -2.77875085E-03 -2.92478826E-03 -2.75424626E-03  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  34.10 -2.44380565E-03 -1.72033087E-03 -2.65761128E-03 -2.79794754E-03 -2.63479903E-03  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  34.35 -2.33791753E-03 -1.64645792E-03 -2.54242942E-03 -2.67746696E-03 -2.52134147E-03  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  34.60 -2.23724934E-03 -1.57625523E-03 -2.43292240E-03 -2.56299292E-03 -2.41354057E-03  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  34.85 -2.14154468E-03 -1.50951896E-03 -2.32881302E-03 -2.45419213E-03 -2.31108242E-03  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  35.10 -2.05055392E-03 -1.44605704E-03 -2.22983104E-03 -2.35075045E-03 -2.21367116E-03  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  35.35 -1.96403524E-03 -1.38568860E-03 -2.13571436E-03 -2.25237190E-03 -2.12102801E-03  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  35.60 -1.88175543E-03 -1.32824343E-03 -2.04620995E-03 -2.15877762E-03 -2.03289037E-03  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  35.85 -1.80349055E-03 -1.27356139E-03 -1.96107461E-03 -2.06970505E-03 -1.94901095E-03  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  36.10 -1.72902638E-03 -1.22149186E-03 -1.88007555E-03 -1.98490699E-03 -1.86915695E-03  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  36.35 -1.65815870E-03 -1.17189320E-03 -1.80299070E-03 -1.90415079E-03 -1.79310926E-03  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  36.60 -1.59069333E-03 -1.12463223E-03 -1.72960881E-03 -1.82721754E-03 -1.72066172E-03  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  36.85 -1.52644615E-03 -1.07958367E-03 -1.65972950E-03 -1.75390125E-03 -1.65162033E-03  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  37.10 -1.46524292E-03 -1.03662971E-03 -1.59316309E-03 -1.68400812E-03 -1.58580258E-03  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  37.35 -1.40691902E-03 -9.95659500E-04 -1.52973030E-03 -1.61735582E-03 -1.52303677E-03  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  37.60 -1.35131912E-03 -9.56568758E-04 -1.46926201E-03 -1.55377281E-03 -1.46316132E-03  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  37.85 -1.29829686E-03 -9.19259312E-04 -1.41159877E-03 -1.49309763E-03 -1.40602420E-03  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  38.10 -1.24771439E-03 -8.83638735E-04 -1.35659045E-03 -1.43517832E-03 -1.35148231E-03  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  38.35 -1.19944197E-03 -8.49619976E-04 -1.30409572E-03 -1.37987185E-03 -1.29940092E-03  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  38.60 -1.15335753E-03 -8.17121015E-04 -1.25398163E-03 -1.32704348E-03 -1.24965317E-03  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  38.85 -1.10934625E-03 -7.86064547E-04 -1.20612312E-03 -1.27656631E-03 -1.20211955E-03  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  39.10 -1.06730013E-03 -7.56377681E-04 -1.16040254E-03 -1.22832078E-03 -1.15668745E-03  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  39.35 -1.02711756E-03 -7.27991662E-04 -1.11670925E-03 -1.18219415E-03 -1.11325070E-03  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  39.60 -9.88702926E-04 -7.00841611E-04 -1.07493913E-03 -1.13808012E-03 -1.07170922E-03  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  39.85 -9.51966255E-04 -6.74866286E-04 -1.03499421E-03 -1.09587842E-03 -1.03196856E-03  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  40.10 -9.16822824E-04 -6.50007848E-04 -9.96782254E-04 -1.05549442E-03 -9.93939609E-04  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  40.35 -8.83192833E-04 -6.26211660E-04 -9.60216379E-04 -1.01683876E-03 -9.57538222E-04  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  40.60 -8.51001086E-04 -6.03426082E-04 -9.25214735E-04 -9.79827048E-04 -9.22684928E-04  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  40.85 -8.20176687E-04 -5.81602294E-04 -8.91700157E-04 -9.44379556E-04 -8.89304638E-04  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  41.10 -7.90652762E-04 -5.60694120E-04 -8.59599865E-04 -9.10420902E-04 -8.57326368E-04  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  41.35 -7.62366201E-04 -5.40657874E-04 -8.28845181E-04 -8.77879809E-04 -8.26682996E-04  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  41.60 -7.35257413E-04 -5.21452206E-04 -7.99371262E-04 -8.46688843E-04 -7.97311020E-04  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  41.85 -7.09270099E-04 -5.03037964E-04 -7.71116854E-04 -8.16784187E-04 -7.69150344E-04  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  42.10 -6.84351047E-04 -4.85378068E-04 -7.44024063E-04 -7.88105420E-04 -7.42144070E-04  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  42.35 -6.60449934E-04 -4.68437382E-04 -7.18038145E-04 -7.60595318E-04 -7.16238308E-04  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  42.60 -6.37519144E-04 -4.52182607E-04 -6.93107303E-04 -7.34199660E-04 -6.91382001E-04  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  42.85 -6.15513607E-04 -4.36582170E-04 -6.69182511E-04 -7.08867056E-04 -6.67526753E-04  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  43.10 -5.94390634E-04 -4.21606126E-04 -6.46217339E-04 -6.84548778E-04 -6.44626680E-04  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  43.35 -5.74109778E-04 -4.07226066E-04 -6.24167795E-04 -6.61198609E-04 -6.22638260E-04  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  43.60 -5.54632698E-04 -3.93415028E-04 -6.02992181E-04 -6.38772698E-04 -6.01520197E-04  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  43.85 -5.35923034E-04 -3.80147416E-04 -5.82650953E-04 -6.17229424E-04 -5.81233296E-04  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  44.10 -5.17946289E-04 -3.67398924E-04 -5.63106597E-04 -5.96529267E-04 -5.61740346E-04  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  44.35 -5.00669721E-04 -3.55146463E-04 -5.44323507E-04 -5.76634697E-04 -5.43006002E-04  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  44.60 -4.84062240E-04 -3.43368093E-04 -5.26267877E-04 -5.57510054E-04 -5.24996684E-04  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  44.85 -4.68094318E-04 -3.32042961E-04 -5.08907596E-04 -5.39121451E-04 -5.07680482E-04  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  45.10 -4.52737894E-04 -3.21151242E-04 -4.92212152E-04 -5.21436672E-04 -4.91027058E-04  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  45.35 -4.37966297E-04 -3.10674080E-04 -4.76152546E-04 -5.04425082E-04 -4.75007564E-04  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  45.60 -4.23754166E-04 -3.00593537E-04 -4.60701200E-04 -4.88057540E-04 -4.59594557E-04  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  45.85 -4.10077376E-04 -2.90892546E-04 -4.45831885E-04 -4.72306319E-04 -4.44761930E-04  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  46.10 -3.96912973E-04 -2.81554860E-04 -4.31519642E-04 -4.57145030E-04 -4.30484829E-04  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  46.35 -3.84239111E-04 -2.72565012E-04 -4.17740719E-04 -4.42548548E-04 -4.16739597E-04  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  46.60 -3.72034988E-04 -2.63908271E-04 -4.04472498E-04 -4.28492948E-04 -4.03503705E-04  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  46.85 -3.60280795E-04 -2.55570604E-04 -3.91693442E-04 -4.14955441E-04 -3.90755690E-04  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  47.10 -3.48957659E-04 -2.47538642E-04 -3.79383031E-04 -4.01914311E-04 -3.78475104E-04  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  47.35 -3.38047595E-04 -2.39799639E-04 -3.67521712E-04 -3.89348863E-04 -3.66642459E-04  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  47.60 -3.27533463E-04 -2.32341448E-04 -3.56090848E-04 -3.77239369E-04 -3.55239177E-04  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  47.85 -3.17398916E-04 -2.25152483E-04 -3.45072669E-04 -3.65567014E-04 -3.44247541E-04  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  48.10 -3.07628368E-04 -2.18221694E-04 -3.34450227E-04 -3.54313855E-04 -3.33650654E-04  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  48.35 -2.98206948E-04 -2.11538539E-04 -3.24207354E-04 -3.43462774E-04 -3.23432396E-04  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  48.60 -2.89120466E-04 -2.05092957E-04 -3.14328625E-04 -3.32997433E-04 -3.13577382E-04  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  48.85 -2.80355380E-04 -1.98875346E-04 -3.04799314E-04 -3.22902240E-04 -3.04070930E-04  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  49.10 -2.71898759E-04 -1.92876536E-04 -2.95605365E-04 -3.13162307E-04 -2.94899019E-04  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  49.35 -2.63738258E-04 -1.87087772E-04 -2.86733354E-04 -3.03763417E-04 -2.86048263E-04  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  49.60 -2.55862082E-04 -1.81500691E-04 -2.78170459E-04 -2.94691990E-04 -2.77505872E-04  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  49.85 -2.48258965E-04 -1.76107301E-04 -2.69904431E-04 -2.85935052E-04 -2.69259629E-04  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  50.10 -2.40918139E-04 -1.70899968E-04 -2.61923565E-04 -2.77480204E-04 -2.61297858E-04  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  50.35 -2.33829314E-04 -1.65871390E-04 -2.54216670E-04 -2.69315592E-04 -2.53609398E-04  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  50.60 -2.26982650E-04 -1.61014590E-04 -2.46773051E-04 -2.61429888E-04 -2.46183579E-04  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  50.85 -2.20368738E-04 -1.56322894E-04 -2.39582478E-04 -2.53812254E-04 -2.39010197E-04  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  51.10 -2.13978579E-04 -1.51789919E-04 -2.32635166E-04 -2.46452326E-04 -2.32079493E-04  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  51.35 -2.07803562E-04 -1.47409557E-04 -2.25921755E-04 -2.39340189E-04 -2.25382127E-04  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  51.60 -2.01835449E-04 -1.43175964E-04 -2.19433287E-04 -2.32466353E-04 -2.18909166E-04  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  51.85 -1.96066355E-04 -1.39083548E-04 -2.13161191E-04 -2.25821737E-04 -2.12652057E-04  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  52.10 -1.90488729E-04 -1.35126954E-04 -2.07097257E-04 -2.19397647E-04 -2.06602613E-04  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  52.35 -1.85095345E-04 -1.31301053E-04 -2.01233629E-04 -2.13185757E-04 -2.00752994E-04  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  52.60 -1.79879279E-04 -1.27600936E-04 -1.95562779E-04 -2.07178095E-04 -1.95095692E-04  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
