% R/bohr 1Sig  1Pi  1Del  3Sig  3Pi  Axy   Azy  Bss  Byx  Bxs  Bsy  Bxd
   9.35 -1.16411036E+01 -1.13794347E+01 -1.34296366E+01 -1.46124737E+01 -1.27209212E+01  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
   9.60 -9.81920792E+00 -9.62583993E+00 -1.13639338E+01 -1.23692812E+01 -1.07464788E+01  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
   9.85 -8.31441634E+00 -8.17057276E+00 -9.64047971E+00 -1.04920514E+01 -9.11464934E+00  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  10.10 -7.06937674E+00 -6.96247841E+00 -8.20370984E+00 -8.92419717E+00 -7.76184027E+00  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  10.35 -6.03715482E+00 -5.95477143E+00 -7.00463404E+00 -7.61487585E+00 -6.63642367E+00  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  10.60 -5.17827740E+00 -5.11156088E+00 -6.00255089E+00 -6.52006859E+00 -5.69667279E+00  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  10.85 -4.46172777E+00 -4.40359444E+00 -5.16229523E+00 -5.60256391E+00 -4.90886918E+00  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  11.10 -3.86106150E+00 -3.80727231E+00 -4.45590881E+00 -4.83142418E+00 -4.24581236E+00  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  11.35 -3.35359652E+00 -3.30455849E+00 -3.85983516E+00 -4.18117890E+00 -3.68553685E+00  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  11.60 -2.92322428E+00 -2.87757965E+00 -3.35557086E+00 -3.63090187E+00 -3.21020660E+00  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  11.85 -2.55577980E+00 -2.51296666E+00 -2.92661578E+00 -3.16362215E+00 -2.80540070E+00  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  12.10 -2.24182996E+00 -2.20210625E+00 -2.55994039E+00 -2.76527950E+00 -2.45926728E+00  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  12.35 -1.97191953E+00 -1.93533205E+00 -2.24722585E+00 -2.42453855E+00 -2.16235112E+00  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  12.60 -1.73986596E+00 -1.70534229E+00 -1.97877707E+00 -2.13217595E+00 -1.90680470E+00  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  12.85 -1.53989886E+00 -1.50624049E+00 -1.74663780E+00 -1.88033580E+00 -1.68596915E+00  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  13.10 -1.36651088E+00 -1.33374334E+00 -1.54529507E+00 -1.66278486E+00 -1.49461603E+00  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  13.35 -1.21537174E+00 -1.18408782E+00 -1.37036067E+00 -1.47420467E+00 -1.32826627E+00  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  13.60 -1.08366081E+00 -1.05405152E+00 -1.21869110E+00 -1.31033783E+00 -1.18330153E+00  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  13.85 -9.68692305E-01 -9.40598646E-01 -1.08697911E+00 -1.16745395E+00 -1.05654823E+00  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  14.10 -8.67838023E-01 -8.40906894E-01 -9.71619702E-01 -1.04242991E+00 -9.45348284E-01  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  14.35 -7.78996671E-01 -7.52854999E-01 -8.69903670E-01 -9.32717751E-01 -8.47525828E-01  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  14.60 -7.00747574E-01 -6.75215356E-01 -7.80313430E-01 -8.36465074E-01 -7.61487735E-01  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  14.85 -6.31715543E-01 -6.06820081E-01 -7.01411029E-01 -7.51865988E-01 -6.85679818E-01  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  15.10 -5.70532262E-01 -5.46504376E-01 -6.31763968E-01 -6.77124207E-01 -6.18556048E-01  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  15.35 -5.16096579E-01 -4.93223237E-01 -5.70151798E-01 -6.10816928E-01 -5.58887636E-01  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  15.60 -4.67654398E-01 -4.46087284E-01 -5.15629525E-01 -5.52006527E-01 -5.05857887E-01  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  15.85 -4.24474818E-01 -4.04217537E-01 -4.67270567E-01 -4.99787802E-01 -4.58677652E-01  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  16.10 -3.85830781E-01 -3.66740642E-01 -4.24153527E-01 -4.53259732E-01 -4.16561372E-01  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  16.35 -3.51144723E-01 -3.33001931E-01 -3.85558598E-01 -4.11683847E-01 -3.78863170E-01  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  16.60 -3.20033271E-01 -3.02630820E-01 -3.51027846E-01 -3.74532833E-01 -3.45118622E-01  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  16.85 -2.92126031E-01 -2.75275712E-01 -3.20120839E-01 -3.41293488E-01 -3.14875428E-01  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  17.10 -2.67053793E-01 -2.50586767E-01 -2.92398291E-01 -3.11454974E-01 -2.87683352E-01  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  17.35 -2.44493353E-01 -2.28282589E-01 -2.67465495E-01 -2.84598284E-01 -2.63172365E-01  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  17.60 -2.24181270E-01 -2.08170684E-01 -2.44985654E-01 -2.60423708E-01 -2.41076624E-01  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  17.85 -2.05858096E-01 -1.90064503E-01 -2.24625838E-01 -2.38639505E-01 -2.21137252E-01  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
