  15.00 -8.68661959E-01 -1.11951177E-02  1.39681574E-03  1.84472900E-04 -3.71422870E-03 -1.02940481E-02 -1.14368773E-05 -3.44143577E-02 -1.28312140E-03  1.11836364E-04 -7.72778801E-04 -4.76198299E-05
  15.50 -7.50250985E-01 -7.36536393E-03  9.96409705E-04  1.65548541E-04 -2.67906319E-03 -6.58006842E-03 -2.90421615E-06 -2.12207002E-02 -7.51687707E-04  9.89286822E-05 -5.83807087E-04 -1.58248049E-06
  16.00 -6.42135973E-01 -4.21080635E-03  6.08287380E-04  1.15150742E-04 -1.48103163E-03 -3.70452725E-03 -5.53093426E-06 -1.12886328E-02 -4.30399820E-04  5.86131812E-05 -3.99441486E-04  1.35672506E-06
  16.50 -5.36355279E-01 -2.08330507E-03  3.12925323E-04  6.36592839E-05 -6.56550945E-04 -1.82605174E-03 -6.31267868E-06 -5.26251818E-03 -2.28911253E-04  2.54753903E-05 -2.29041310E-04 -2.30376320E-06
  17.00 -4.43615723E-01 -9.28380633E-04  1.41826647E-04  3.03164862E-05 -2.53344334E-04 -8.15159438E-04 -4.55410211E-06 -2.24965774E-03 -1.10865408E-04  8.80540779E-06 -1.13240368E-04 -2.61294600E-06
  17.50 -3.68369103E-01 -3.83771204E-04  5.87320209E-05  1.32066318E-05 -8.97510901E-05 -3.37726408E-04 -2.56864870E-06 -9.04912771E-04 -4.90402370E-05  2.41526153E-06 -5.02826680E-05 -1.45831074E-06
  18.00 -3.08496806E-01 -1.48222145E-04  2.24707735E-05  5.41868706E-06 -2.96697314E-05 -1.30378964E-04 -1.24726916E-06 -3.43011148E-04 -1.98195090E-05  4.01928282E-07 -2.04574693E-05 -5.09296391E-07
  18.50 -2.60491295E-01 -5.28849462E-05  7.84855762E-06  2.11612797E-06 -9.02999077E-06 -4.62207398E-05 -5.43250990E-07 -1.20481198E-04 -7.21061508E-06 -9.03457323E-08 -7.62115862E-06 -4.68837364E-08
  19.00 -2.21452488E-01 -1.68063604E-05  2.38989780E-06  7.86575382E-07 -2.39400592E-06 -1.44035135E-05 -2.14914784E-07 -3.75468336E-05 -2.24617654E-06 -1.41216913E-07 -2.53630508E-06  1.01588418E-07
  19.50 -1.89299380E-01 -4.26165976E-06  5.40635873E-07  2.75917600E-07 -4.49781697E-07 -3.42911471E-06 -7.64510784E-08 -9.11624050E-06 -4.97480065E-07 -9.88805178E-08 -6.95271857E-07  1.12842338E-07
  20.00 -1.62559424E-01 -4.38728426E-07  5.98820289E-09  8.94043832E-08  2.79632376E-08 -1.64721816E-07 -2.33187368E-08 -6.31159558E-07  1.91980428E-08 -5.62199305E-08 -1.06333961E-07  8.35596723E-08
  20.50 -1.40160349E-01  4.36995141E-07 -9.80622816E-08  2.53854053E-08  9.51027952E-08  5.20581018E-07 -5.08222826E-09  1.20399979E-06  1.17007879E-07 -2.89083592E-08  4.26357340E-08  5.24227404E-08
  21.00 -1.21292290E-01  4.58477262E-07 -8.52782089E-08  5.29749707E-09  7.15257684E-08  4.80762264E-07  1.68175701E-10  1.15656915E-06  9.86665247E-08 -1.39936402E-08  5.70839810E-08  2.99017335E-08
  21.50 -1.05324798E-01  3.10503933E-07 -5.45715507E-08 -6.70668935E-11  4.18351718E-08  3.14742408E-07  1.13074767E-09  7.65545404E-07  6.31139516E-08 -6.50301901E-09  4.09387390E-08  1.60071027E-08
  22.00 -9.17566735E-02  1.79686698E-07 -3.06948824E-08 -9.82401277E-10  2.19089859E-08  1.79455257E-07  9.42347805E-10  4.38703107E-07  3.57053876E-08 -2.93365095E-09  2.43277953E-08  8.18363383E-09
  22.50 -8.01840098E-02  9.55805826E-08 -1.60422804E-08 -8.01130107E-10  1.07711919E-08  9.47053957E-08  5.95079136E-10  2.32204607E-07  1.87980581E-08 -1.29372494E-09  1.31433437E-08  4.03913037E-09
  23.00 -7.02783884E-02  4.81798544E-08 -7.98780378E-09 -4.91539882E-10  5.08101018E-09  4.75158533E-08  3.32578508E-10  1.16734918E-07  9.43037970E-09 -5.60342592E-10  6.69356090E-09  1.93856296E-09
