  4.0000  2.69102497E-02 -2.34097674E-02  7.25804535E-02  4.27278605E-03  1.41637494E-02 -2.03214031E-02  7.67268819E-04 -2.31859867E-04  1.22053649E-03 -8.05185085E-04
  4.2000  2.10033858E-02 -1.90856491E-02  6.06756217E-02  2.73655448E-03  1.09121346E-02 -1.72276633E-02  4.92754919E-04 -2.52230445E-04  9.54078909E-04 -6.11227404E-04
  4.4000  1.63383440E-02 -1.55693643E-02  5.03809700E-02  1.76202671E-03  8.42075872E-03 -1.46456561E-02  3.17526500E-04 -2.53197809E-04  7.44239841E-04 -4.80735417E-04
  4.6000  1.26563396E-02 -1.27418571E-02  4.16014198E-02  1.14535421E-03  6.51473566E-03 -1.24669249E-02  2.04834167E-04 -2.43454437E-04  5.81440669E-04 -3.89192528E-04
  4.8000  9.75246221E-03 -1.04849853E-02  3.41908113E-02  7.53567644E-04  5.05844508E-03 -1.06193164E-02  1.31578001E-04 -2.28560526E-04  4.56444702E-04 -3.22307340E-04
  5.0000  7.46509340E-03 -8.68975274E-03  2.79848330E-02  5.01201370E-04  3.94679595E-03 -9.04994725E-03  8.34415240E-05 -2.11471583E-04  3.61038240E-04 -2.71532498E-04
  5.2000  5.66703682E-03 -7.26066519E-03  2.28199792E-02  3.34338544E-04  3.09841670E-03 -7.71698054E-03  5.16028833E-05 -1.93474080E-04  2.88306187E-04 -2.31652327E-04
  5.4000  4.25814870E-03 -6.11752367E-03  1.85434773E-02  2.19772565E-04  2.45038113E-03 -6.58564289E-03  3.05719996E-05 -1.75049069E-04  2.32670525E-04 -1.99423222E-04
  5.6000  3.15931837E-03 -5.19546561E-03  1.50177320E-02  1.37676221E-04  1.95414806E-03 -5.62626752E-03  1.68316776E-05 -1.56447678E-04  1.89793521E-04 -1.72784229E-04
  5.8000  2.30766862E-03 -4.44380262E-03  1.21216902E-02  7.66558338E-05  1.57244330E-03 -4.81327759E-03  8.03529588E-06 -1.37965096E-04  1.56408020E-04 -1.50390554E-04
  6.0000  1.65283793E-03 -3.82408671E-03  9.75060980E-03  3.04203483E-05  1.27685170E-03 -4.12458777E-03  2.56368784E-06 -1.20003961E-04  1.30116093E-04 -1.31335304E-04
  6.2000  1.15418460E-03 -3.30778597E-03  7.81503998E-03 -4.44291328E-06  1.04592576E-03 -3.54118164E-03 -7.11292170E-07 -1.03031187E-04  1.09186309E-04 -1.14982760E-04
  6.4000  7.78735432E-04 -2.87391558E-03  6.23940931E-03 -2.99082426E-05  8.63663235E-04 -3.04676070E-03 -2.56228164E-06 -8.74993423E-05  9.23720818E-05 -1.00868250E-04
  6.6000  4.99696638E-04 -2.50691057E-03  4.96041796E-03 -4.73753614E-05  7.18255827E-04 -2.62742517E-03 -3.50128878E-06 -7.37698107E-05  7.87649253E-05 -8.86378676E-05
  6.8000  2.95359235E-04 -2.19492766E-03  3.92536631E-03 -5.81105184E-05  6.01056574E-04 -2.27137570E-03 -3.85789135E-06 -6.20573169E-05  6.76868755E-05 -7.80119861E-05
  7.0000  1.48260001E-04 -1.92863787E-03  3.09053342E-03 -6.33988978E-05  5.05742451E-04 -1.96863556E-03 -3.84359384E-06 -5.24072604E-05  5.86181216E-05 -6.87629615E-05
  7.2000  4.44982322E-05 -1.70045851E-03  2.41969824E-03 -6.45302499E-05  4.27658825E-04 -1.71079601E-03 -3.59898685E-06 -4.47083523E-05  5.11512554E-05 -6.07012503E-05
  7.4000 -2.68523629E-05 -1.50410725E-03  1.88286006E-03 -6.27176249E-05  3.63328781E-04 -1.49078708E-03 -3.22302902E-06 -3.87324386E-05  4.49628674E-05 -5.36665209E-05
