   6.7392685e+02   3.4970159e+01   4.4873125e+01   2.4382555e+01  -2.6768638e+01   4.2150996e+01  -2.1193015e+01  -3.9172818e+01   1.0029585e+01
   5.5040752e+02   2.8585613e+01   3.9225267e+01   9.7085652e+00  -3.6215388e+01   2.1833133e+01  -2.8872226e+01  -2.4512026e+01   2.2624953e+01
   4.5063252e+02   2.6454314e+01   3.5571946e+01   8.3041701e+00  -2.9627478e+01   1.8564892e+01  -2.3048572e+01  -2.0249541e+01   1.8079968e+01
   3.6898552e+02   2.5148165e+01   3.0139316e+01   6.2510720e+00  -2.5080075e+01   1.4666222e+01  -1.8242206e+01  -1.5793338e+01   1.5023172e+01
   3.0215948e+02   2.4666712e+01   2.4883517e+01   5.1286903e+00  -2.1233673e+01   1.0743809e+01  -1.5030872e+01  -1.2425320e+01   1.2724631e+01
   2.4724785e+02   2.4186487e+01   1.9766986e+01   4.7647296e+00  -1.7632506e+01   7.8882503e+00  -1.1873733e+01  -9.8674185e+00   1.0441406e+01
   2.0216531e+02   2.3470241e+01   1.4948877e+01   4.5738142e+00  -1.4934838e+01   5.5038087e+00  -9.3262301e+00  -7.8960174e+00   8.6756183e+00
   1.6542632e+02   2.3228953e+01   1.2167404e+01   8.3863215e+00  -8.4288486e+00   7.9057092e+00  -4.0092742e+00  -9.2516365e+00   2.7584523e+00
   1.3808448e+02   1.5796427e+01   1.6728214e+01  -1.7978371e+00  -7.8336485e-01   3.8511419e+00  -7.0638520e+00  -3.1070367e-01  -2.0990791e+00
   1.1304157e+02   1.5628644e+01   1.2487711e+01   3.6775048e-01  -7.8972981e-01   4.7353511e+00  -3.9141802e+00   1.4688871e+00  -7.1775537e-02
   9.2862361e+01   1.4236282e+01   1.0389432e+01  -1.8335583e+00   1.6517032e+00   6.8077192e-01  -1.1274251e+00   4.2869074e+00  -2.1297609e+00
   7.6331112e+01   1.2865559e+01   8.1079606e+00  -1.3972841e+00   2.0265902e+00  -1.0777578e+00   1.0131474e+00   1.1823293e+00  -1.2252590e+00
   6.2893322e+01   1.1506575e+01   6.2889128e+00  -2.5379876e-01   8.2254503e-01  -4.0022372e-01   3.3860342e-01  -3.5889029e-01   4.7995268e-01
   5.1868609e+01   1.0225221e+01   4.9300611e+00   1.0370208e-01   4.7609158e-01  -1.8790739e-01   1.3152505e-01  -9.1033980e-02   1.6557821e-01
   4.2856610e+01   8.9681272e+00   3.9568415e+00   2.8379898e-01   3.0229075e-01  -9.1517706e-02   5.3654723e-02  -3.3531881e-02   8.9942430e-02
   3.5462900e+01   7.8012763e+00   3.2264753e+00   3.6085864e-01   2.1401086e-01  -4.5050471e-02   2.4678602e-02  -1.6253928e-02   6.4928704e-02
   2.2199852e+01   5.3799394e+00   2.0190921e+00   3.6295278e-01   1.2813082e-01  -9.7090577e-04   1.1139298e-02  -4.8091930e-03   4.4186135e-02
   1.3976176e+01   3.6359896e+00   1.3051304e+00   2.8593438e-01   9.3853514e-02   9.8999287e-03   1.1131764e-02  -1.5721073e-03   3.5400334e-02
   8.8405831e+00   2.4260821e+00   8.5757660e-01   2.0664086e-01   6.9753453e-02   1.0308753e-02   1.1102349e-02   5.3939540e-06   3.0272539e-02
   5.6165091e+00   1.6024691e+00   5.6871391e-01   1.4320678e-01   5.1500652e-02   8.0453562e-03   1.0466536e-02   6.0887834e-04   2.7081969e-02
   2.3041078e+00   6.8148544e-01   2.5704734e-01   6.4570677e-02   2.8192441e-02   3.7312657e-03   9.1916057e-03   2.4639574e-04   2.3331722e-02
   9.8516872e-01   2.8063760e-01   1.2503174e-01   2.7546174e-02   1.7271094e-02   2.0549081e-03   8.0081492e-03  -5.0654331e-04   2.2204440e-02
   2.5197244e-01   4.6150752e-02   4.7347174e-02   4.4162442e-03   1.2256045e-02   1.3107889e-04   7.9133441e-03  -1.4003864e-03   2.1702710e-02
   1.2000171e-01  -3.1975772e-04   3.1263737e-02  -1.7475404e-05   1.1504494e-02   3.2670453e-05   6.7179274e-03  -2.1973551e-03   2.0571657e-02
   1.1475952e-01   7.8846620e-05   3.1912251e-02   4.5332866e-04   1.1002583e-02   2.3859483e-04   7.0643697e-03  -1.0635871e-03   2.0837722e-02
   1.1458698e-01  -5.2663092e-05   3.1759045e-02   3.0578683e-04   1.0919989e-02   2.2890477e-04   7.1170372e-03  -9.9948689e-04   2.0871419e-02
   1.1458828e-01  -5.3166115e-05   3.1758706e-02   3.0553709e-04   1.0916658e-02   2.3103392e-04   7.1172266e-03  -1.0003519e-03   2.0873256e-02
