42
   4.00   4.25   4.50   4.75   5.00
   5.25   5.50   5.75   6.00   6.25
   6.50   6.75   7.00   7.25   7.50
   7.75   8.00   8.25   8.50   8.75
   9.00   9.50  10.00  11.00  12.00
  14.00  16.00  20.00  21.00  22.00
  25.00  30.00  40.00  50.00  75.00
 100.00 110.00 125.00 150.00 200.00
 250.00 300.00
939
0 0 0 0
  8.3521540000e+04  6.3880770000e+04  4.6635070000e+04  3.7209680000e+04  2.2351280000e+04
  1.4244950000e+04  8.4925250000e+03  4.7353380000e+03  2.3924220000e+03  9.7718230000e+02
  1.5665930000e+02 -2.9019780000e+02 -5.0822700000e+02 -5.9056000000e+02 -5.9599690000e+02
 -5.6085870000e+02 -5.0701910000e+02 -4.4711960000e+02 -3.8814150000e+02 -3.3359430000e+02
 -2.8501220000e+02 -2.0639430000e+02 -1.4947060000e+02 -8.0418160000e+01 -4.5426920000e+01
 -1.6756836739e+01 -7.0552115325e+00 -1.6416646439e+00 -1.1955592597e+00 -8.8357994104e-01
 -3.8492964072e-01 -1.1768015609e-01 -1.8138503277e-02 -4.2529116742e-03 -3.0485489962e-04
 -4.6988479448e-05 -2.5289424004e-05 -1.1017328704e-05 -3.3682026063e-06 -5.1915425711e-07
 -1.2172543496e-07 -3.7213732864e-08
0 0 2 2
  3.3385680000e+03  2.7694550000e+03  2.1428440000e+03  3.1310600000e+03  1.3568770000e+03
  1.0978670000e+03  7.6312450000e+02  4.5799570000e+02  2.5505090000e+02  1.2749580000e+02
  4.9540410000e+01  4.3416180000e+00 -1.9985840000e+01 -3.1493670000e+01 -3.5417230000e+01
 -3.5094130000e+01 -3.2572800000e+01 -2.9087920000e+01 -2.5391400000e+01 -2.1825230000e+01
 -1.8582050000e+01 -1.3265050000e+01 -9.4155940000e+00 -4.8640010000e+00 -2.6666980000e+00
 -8.1227368844e-01 -1.2105510000e-01 -6.0613395891e-06 -8.2055104152e-07 -1.1105386692e-07
 -2.7527670127e-10 -1.2497667621e-14 -0.0000000000e+00 -0.0000000000e+00 -0.0000000000e+00
 -0.0000000000e+00 -0.0000000000e+00 -0.0000000000e+00 -0.0000000000e+00 -0.0000000000e+00
 -0.0000000000e+00 -0.0000000000e+00
0 0 4 4
  9.5513890000e+01  1.0277450000e+02  9.4683270000e+01  1.7025090000e+02  6.7777380000e+00
  1.3447720000e+01  2.6305160000e+01  1.8094830000e+01  1.0109020000e+01  5.1939140000e+00
  2.5759860000e+00  9.4858060000e-01  7.3087230000e-03 -4.7903850000e-01 -6.8211170000e-01
 -7.3878560000e-01 -7.1663390000e-01 -6.5013550000e-01 -5.6374930000e-01 -4.7782450000e-01
 -3.9096520000e-01 -2.5213880000e-01 -1.3659660000e-01 -1.6480100000e-02 -1.0055580000e-02
 -4.2346123690e-02  2.2057185000e-03 -5.3512994044e-07 -7.2442968014e-08 -9.8044744589e-09
 -2.4303011337e-11 -1.1033660186e-15 -0.0000000000e+00 -0.0000000000e+00 -0.0000000000e+00
 -0.0000000000e+00 -0.0000000000e+00 -0.0000000000e+00 -0.0000000000e+00 -0.0000000000e+00
 -0.0000000000e+00 -0.0000000000e+00
1 0 0 1
 -5.9186180000e+03 -1.1469820000e+04 -1.5678250000e+04 -2.2786300000e+04 -1.4069350000e+04
 -1.0515450000e+04 -7.1588020000e+03 -4.6724150000e+03 -2.9710460000e+03 -1.8319380000e+03
 -1.0858500000e+03 -6.0727850000e+02 -3.0802820000e+02 -1.2670910000e+02 -2.1423240000e+01
  3.5973530000e+01  6.3970650000e+01  7.4530710000e+01  7.5217610000e+01  7.0712540000e+01
  6.3795710000e+01  4.8571310000e+01  3.5391790000e+01  1.8147960000e+01  9.5133820000e+00
  2.8647316103e+00  5.3405550000e-01  9.3166503756e-05  1.2612372326e-05  1.7069659861e-06
  4.2311715827e-09  1.9209680966e-13  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00
  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00
  0.0000000000e+00  0.0000000000e+00
1 0 2 1
 -1.1741730000e+03 -1.2279940000e+03 -9.7816760000e+02  6.4345920000e+02 -1.0193430000e+02
  1.9168790000e+02  2.2827390000e+02  1.6778800000e+02  1.1645740000e+02  7.9048980000e+01
