8.00                 20.00              -82.10404600  
8.50                 20.00              -57.71987050  
9.00                 20.00              -40.12579450  
9.50                 20.00              -28.01666550  
10.00                20.00              -19.79506350  
10.50                20.00              -14.20953900  
11.00                20.00              -10.36946100  
11.50                20.00              -7.68838000  
12.00                20.00              -5.78415000  
12.50                20.00              -4.41163750  
13.00                20.00              -3.40748700  
13.50                20.00              -2.66143000  
14.00                20.00              -2.10123150  
14.50                20.00              -1.67440850  
15.00                20.00              -1.34608750  
16.00                20.00              -0.89155950  
17.00                20.00              -0.60749500  
18.00                20.00              -0.42372550  
19.00                20.00              -0.30194450  
20.00                20.00              -0.21923550  
21.00                20.00              -0.16191650  
22.00                20.00              -0.12142800  
23.00                20.00              -0.09249400  
24.00                20.00              -0.07161250  
25.00                20.00              -0.05567550  
4.00                 25.00              23576.67260850  
4.50                 25.00              8806.92400050  
5.00                 25.00              2985.51381250  
5.25                 25.00              1631.51436500  
5.50                 25.00              824.87729050  
5.75                 25.00              357.49275100  
6.00                 25.00              97.06926150  
6.25                 25.00              -39.56418600  
6.50                 25.00              -103.97900250  
6.75                 25.00              -127.67670500  
7.00                 25.00              -129.51041250  
7.25                 25.00              -120.56992800  
7.50                 25.00              -107.11817250  
7.75                 25.00              -92.54715500  
8.00                 25.00              -78.63188050  
8.50                 25.00              -55.31564600  
9.00                 25.00              -38.51935250  
9.50                 25.00              -26.94324050  
10.00                25.00              -19.07111250  
10.50                25.00              -13.71246600  
11.00                25.00              -10.02060200  
11.50                25.00              -7.43883150  
12.00                25.00              -5.60302100  
12.50                25.00              -4.27789700  
13.00                25.00              -3.30634750  
13.50                25.00              -2.58548150  
14.00                25.00              -2.04231700  
14.50                25.00              -1.63016050  
15.00                25.00              -1.31148750  
16.00                25.00              -0.86901150  
17.00                25.00              -0.59248700  
18.00                25.00              -0.41385700  
19.00                25.00              -0.29509200  
20.00                25.00              -0.21425750  
21.00                25.00              -0.15844400  
22.00                25.00              -0.11883450  
23.00                25.00              -0.09041600  
24.00                25.00              -0.06970800  
25.00                25.00              -0.05415550  
4.00                 30.00              21041.35618850  
4.50                 30.00              7897.98828200  
5.00                 30.00              2668.17550000  
5.25                 30.00              1449.83545250  
5.50                 30.00              724.63921200  
5.75                 30.00              305.37173850  
6.00                 30.00              72.71255750  
6.25                 30.00              -48.43725850  
6.50                 30.00              -104.65101650  
6.75                 30.00              -124.37192600  
7.00                 30.00              -124.60554200  
7.25                 30.00              -115.32987750  
7.50                 30.00              -102.14481850  
7.75                 30.00              -88.15430050  
8.00                 30.00              -74.90190100  
8.50                 30.00              -52.71214800  
9.00                 30.00              -36.77053700  
9.50                 30.00              -25.77357500  
10.00                30.00              -18.27996650  
10.50                30.00              -13.16552450  
11.00                30.00              -9.63676750  
