       5.5                 120          2.12047664              443.47
        10                 150          2.12047664               -0.12
       9.7                 150          2.12047664               -0.12
       9.4                 150          2.12047664               -0.14
       9.1                 150          2.12047664               -0.09
         9                 150          2.12047664              -0.075
       8.9                 150          2.12047664              -0.055
       8.8                 150          2.12047664               -0.03
       8.7                 150          2.12047664               0.045
       8.6                 150          2.12047664               0.095
       8.5                 150          2.12047664                0.19
       8.4                 150          2.12047664               0.275
       8.3                 150          2.12047664                 0.4
       8.1                 150          2.12047664               0.775
         8                 150          2.12047664               1.025
       7.9                 150          2.12047664               1.355
       7.8                 150          2.12047664               1.755
       7.7                 150          2.12047664               2.295
       7.6                 150          2.12047664               2.915
       7.5                 150          2.12047664               3.725
       7.4                 150          2.12047664                4.71
       7.3                 150          2.12047664               5.915
       7.2                 150          2.12047664                7.41
       7.1                 150          2.12047664               9.245
         7                 150          2.12047664              11.515
       6.9                 150          2.12047664               14.26
       6.8                 150          2.12047664               17.75
       6.7                 150          2.12047664               21.74
       6.6                 150          2.12047664                26.7
       6.5                 150          2.12047664              32.675
       6.4                 150          2.12047664              39.785
       6.3                 150          2.12047664                48.2
       6.2                 150          2.12047664               58.09
       6.1                 150          2.12047664               69.41
         6                 150          2.12047664              82.195
       5.9                 150          2.12047664              96.215
       5.8                 150          2.12047664              130.01
       5.7                 150          2.12047664            155.7025
       5.6                 150          2.12047664              186.07
       5.5                 150          2.12047664             221.735
        10                  30          2.22047664               -0.11
       9.7                  30          2.22047664               -0.07
       9.4                  30          2.22047664              -0.105
       9.1                  30          2.22047664              -0.055
         9                  30          2.22047664               -0.03
       8.9                  30          2.22047664                   0
       8.8                  30          2.22047664               0.055
       8.7                  30          2.22047664               0.095
       8.6                  30          2.22047664               0.195
       8.5                  30          2.22047664                 0.3
       8.4                  30          2.22047664                0.46
       8.3                  30          2.22047664               0.635
       8.1                  30          2.22047664               1.225
         8                  30          2.22047664                1.54
       7.9                  30          2.22047664                1.99
       7.8                  30          2.22047664               2.545
       7.7                  30          2.22047664                3.27
